,Collision,Displacement,Deviation,Velocity,Angle,Energy,Steer,ADE,FDE,SSIM
113,0.0183,0.0294,0.7309,0.0442,0.1316,4.3111,7.086,1.1281,1.5539,0.9466
114,0.019,0.0281,0.7227,0.0504,0.1364,4.1749,6.8401,1.0623,1.4464,0.9451
115,0.0221,0.0296,0.7087,0.0562,0.1207,4.3387,6.975,1.111,1.5253,0.948
118,0.011,0.028,0.6328,0.0611,0.1198,4.1064,6.5835,1.0066,1.3765,0.9474
120,0.0141,0.0263,0.577,0.0547,0.1139,3.9939,6.5238,0.8747,1.3013,0.9461
122,0.0055,0.0274,0.5439,0.0626,0.1097,3.9968,6.5911,0.8511,1.2395,0.9621
124,0.0106,0.0252,0.604,0.0466,0.0965,3.854,6.1216,0.8637,1.2482,0.965
132,0.0339,0.0267,0.5024,0.0452,0.1216,3.7582,5.9315,0.8687,1.298,0.9639
133,0.0064,0.0263,0.4756,0.0478,0.1091,3.9058,6.1556,0.9257,1.328,0.9668
135,0.0099,0.0229,0.4675,0.0528,0.0945,3.6066,5.6511,0.9062,1.2469,0.9697
136,0.0191,0.0293,0.5769,0.0488,0.1096,4.1852,6.7117,1.0326,1.6455,0.9632
140,0.0134,0.0298,0.5521,0.0558,0.1173,4.1477,6.8653,1.0096,1.6701,0.9594
144,0.0149,0.0316,0.5807,0.0628,0.1315,4.3126,7.1835,1.0253,1.6715,0.9573
146,0.0163,0.0314,0.5791,0.0692,0.1069,4.412,7.2017,1.0417,1.6131,0.96
147,0.0147,0.0328,0.5807,0.0576,0.1179,4.4732,7.4814,1.0684,1.6955,0.9564
148,0.0139,0.0289,0.5744,0.0627,0.1126,4.1887,6.8808,1.0621,1.4594,0.9575
166,0.0103,0.0269,0.5774,0.0442,0.0867,4.2437,6.397,1.133,1.6333,0.9587
168,0.011,0.0266,0.5793,0.0486,0.086,4.1907,6.328,1.1239,1.6268,0.9581
172,0.0117,0.0315,0.513,0.0386,0.0988,4.8775,6.8765,0.968,1.3518,0.9626
173,0.011,0.0258,0.5883,0.0487,0.0942,4.0218,5.9526,1.1278,1.6293,0.9611
175,0.0091,0.0245,0.5453,0.0309,0.0885,3.7719,5.6314,1.1242,1.6306,0.9584
176,0.0122,0.0231,0.5506,0.0433,0.0948,3.5645,5.1784,1.1033,1.6116,0.9584
185,0.0119,0.0243,0.5699,0.0378,0.0921,3.4928,5.0952,1.1202,1.6492,0.951
192,0.0099,0.0249,0.5667,0.0298,0.0829,3.5018,4.9702,1.1293,1.6521,0.9489
201,0.0155,0.0255,0.4739,0.0517,0.1047,3.7601,5.1695,1.0286,1.5158,0.9501
202,0.0153,0.0261,0.4785,0.0339,0.0957,3.9147,5.5862,1.0704,1.5422,0.9498
203,0.0135,0.0264,0.4925,0.034,0.0998,3.9518,5.5768,1.0701,1.5551,0.9491
209,0.0121,0.0247,0.5621,0.0431,0.1091,3.6819,5.52,1.1755,1.6589,0.9516
215,0.0132,0.0203,0.4899,0.0451,0.1168,3.1563,5.0179,1.1,1.4988,0.9588
229,0.0111,0.0216,0.3354,0.0483,0.104,3.135,5.0459,0.8672,1.2433,0.9607
235,0.0055,0.0223,0.3384,0.0723,0.1371,2.9625,4.6627,0.8736,1.5006,0.9519
237,0.0069,0.023,0.4065,0.0462,0.112,3.2017,5.2496,0.9622,1.6115,0.953
244,0.0027,0.0217,0.4424,0.0451,0.0968,3.1463,4.6113,0.9502,1.4902,0.9563
249,0.0,0.0221,0.5096,0.0391,0.0922,3.2962,4.3986,1.091,1.7008,0.9555
257,0.0,0.0234,0.4171,0.0366,0.0755,3.3892,4.8015,0.9562,1.4779,0.9593
267,0.0,0.0245,0.4414,0.0318,0.0569,3.4742,5.0131,0.9641,1.5977,0.9604
278,0.0,0.0228,0.4726,0.0339,0.06,3.5417,4.7238,0.9671,1.3726,0.9569
282,0.0,0.0218,0.3853,0.0288,0.0598,3.4609,4.5757,0.8498,1.0962,0.9645
285,0.0,0.0284,0.4414,0.0313,0.0854,3.9305,5.3358,1.0096,1.9238,0.9618
287,0.0,0.0284,0.4396,0.045,0.0749,3.9577,5.2504,0.9945,1.8476,0.9615
294,0.0038,0.032,0.4399,0.0347,0.0911,4.5799,5.9109,1.0169,1.7893,0.9565
295,0.0046,0.0326,0.437,0.0349,0.0898,4.6587,5.9723,1.0369,1.8305,0.9562
